employee_id,age,country,industry,work_mode,year,weekly_hours_worked,tasks_completed,productivity_score,sleep_hours_avg,exercise_frequency_per_week,mental_health_score,burnout_level,job_satisfaction,salary_usd
EMP000001,59,France,Retail,Hybrid,2024,53.9,69,85,4.9,4,91,High,9.3,83499.93
EMP000002,44,Italy,Healthcare,On-site,2021,49.5,73,84,4.3,3,83,Medium,8.5,30093.45
EMP000003,45,Italy,Healthcare,On-site,2023,38.7,83,100,7.1,5,100,Low,9.4,73963.42
EMP000004,23,France,Tech,Hybrid,2023,55.8,103,92,7.4,0,97,High,8.7,143064.21
EMP000005,22,USA,Education,Hybrid,2023,50.5,87,92,6.2,1,87,Medium,9.0,34126.62
EMP000006,22,USA,Retail,Hybrid,2021,42.8,105,90,5.0,5,92,Low,10.1,131074.17
EMP000007,51,Germany,Education,Remote,2022,57.7,75,73,4.4,0,68,High,6.4,62561.88
EMP000008,49,India,Education,Remote,2018,54.1,86,83,4.4,1,85,High,8.2,117480.86
EMP000009,48,Canada,Healthcare,Hybrid,2025,55.9,95,90,7.1,3,94,High,9.7,67317.88
EMP000010,47,UK,Finance,Hybrid,2020,46.8,89,89,5.9,6,99,Medium,9.1,60728.2
EMP000011,33,France,Tech,On-site,2022,36.1,89,100,8.5,4,100,Low,10.1,113461.93
EMP000012,49,USA,Healthcare,Hybrid,2022,36.9,82,90,4.4,4,89,Low,9.6,141563.72
EMP000013,48,USA,Finance,Hybrid,2018,36.6,92,100,6.1,0,100,Low,9.5,44650.55
EMP000014,47,Canada,Healthcare,On-site,2020,42.8,85,94,8.1,6,100,Low,9.3,56652.94
EMP000015,52,Australia,Finance,Remote,2023,45.6,107,100,7.5,2,100,Medium,9.6,145493.68
EMP000016,37,Canada,Retail,Remote,2018,38.0,89,100,8.9,1,100,Low,10.1,71408.55
EMP000017,46,Canada,Finance,Hybrid,2024,59.6,96,86,5.2,4,86,High,8.9,58516.51
EMP000018,26,India,Education,Hybrid,2025,42.0,81,100,8.1,3,100,Low,9.7,90983.85
EMP000019,56,Italy,Retail,On-site,2018,30.5,95,100,6.6,6,100,Low,10.9,50923.97
EMP000020,21,USA,Finance,Remote,2024,50.3,106,100,7.7,1,94,Medium,10.4,113494.13
EMP000021,22,USA,Tech,Remote,2018,59.9,93,100,8.8,2,100,High,10.7,52644.85
EMP000022,53,Australia,Retail,On-site,2025,49.3,79,86,4.4,1,79,Medium,8.3,30607.39
EMP000023,36,India,Healthcare,Hybrid,2025,59.8,82,78,4.9,6,77,High,8.1,51458.73
EMP000024,53,Germany,Retail,Remote,2023,46.3,87,91,6.5,5,100,Medium,10.8,100784.5
EMP000025,47,Italy,Education,Hybrid,2022,53.8,89,90,6.5,3,100,High,9.0,53429.16
EMP000026,37,France,Finance,Remote,2022,59.8,103,88,6.3,0,86,High,8.7,119726.25
EMP000027,51,USA,Retail,Remote,2025,58.9,90,91,8.3,1,91,High,9.2,132136.4
EMP000028,51,UK,Finance,Remote,2019,55.3,109,95,8.7,0,100,High,10.7,60499.64
EMP000029,29,Italy,Tech,On-site,2018,51.1,98,94,5.8,3,87,Medium,8.7,127213.61
